Term,Original Definition,Published Definition,Publish to DevHub,Keywords,Context,Team Source - Temp,Citations,Verified Definition,Comments,StaticId,Name
SDX Edge Server,The secure connectivity layer that enables organizations to participate in SDX exchanges.,,No,SDX,General,APS,https://dpdd.atlassian.net/wiki/spaces/POSM/pages/1389330560/Updated+CS+Terminology+Language,Yes,"How the edge servers work:A localized communication server within the SDX ecosystem that processes data and runs applications close to where they are generated or used.   Consumer SDX Edge Server: can be a gateway for secure outgoing communication.   Provider SDX Edge Server: can be a gateway for secure incoming communication.  Each organization must use an edge server, with an option to self-host.   Scoping details occur within the SDX Edge Server. If scoping details on both sides of SDX Edges match, then approval is granted and credentials are provided. ",ca276d3b-d764-4f33-aa55-ada3d4ba4141,sdx-edge-server
Scoping Details,"The details that a user provides to initiate an SDX between a consumer and provider. Details that are required to match between consumer and provider to make that secure pathway (SDX) happen. Policy dictates and defines which scoping details to collect. ","The details that a user provides to initiate an SDX between a consumer and provider. Details that are required to match between consumer and provider to make that secure pathway (SDX) happen. Policy dictates and defines which scoping details to collect. ",Yes,SDX,General,APS,https://dpdd.atlassian.net/wiki/spaces/POSM/pages/1389330560/Updated+CS+Terminology+Language,Yes,,50e1e3b5-3ceb-4a03-95c2-402e038478ed,scoping-details
Kong Endpoint,"An API endpoint that is exposed, managed, or routed through Kong. In this case, a public-facing URL exposed by Kong.","An API endpoint that is exposed, managed, or routed through Kong. In this case, a public-facing URL exposed by Kong.",Yes,,General,APS,https://dpdd.atlassian.net/wiki/spaces/POSM/pages/1389330560/Updated+CS+Terminology+Language,Yes,,014751e3-56ba-465b-8e22-2a7524d8b2e6,kong-endpoint
Non-repudiation,"A security principle that ensures a person or system cannot deny having performed a specific action, such as sending a message or approving a transaction - typically achieved through logging, digital signatures, and strong authentication.","A security principle that ensures a person or system cannot deny having performed a specific action, such as sending a message or approving a transaction - typically achieved through logging, digital signatures, and strong authentication.",Yes,SDX,General,APS,https://dpdd.atlassian.net/wiki/spaces/POSM/pages/1389330560/Updated+CS+Terminology+Language,Yes,,f7a1075e-e324-4b79-ad47-43b2b87cb0e0,non-repudiation
Integration,"The technical implementation that enables an exchange, such as APIs, connectors, or file transfers.","The technical implementation that enables an exchange, such as APIs, connectors, or file transfers.",Yes,,General,APS,https://dpdd.atlassian.net/wiki/spaces/POSM/pages/1389330560/Updated+CS+Terminology+Language,Yes,,8b6a24fe-a037-4b20-962f-5c3cbc02ad69,integration
Transaction,"A single instance of an exchange, for example one API call or message delivery.","A single instance of an exchange, for example one API call or message delivery.",Yes,SDX,General,APS,https://dpdd.atlassian.net/wiki/spaces/POSM/pages/1389330560/Updated+CS+Terminology+Language,Yes,,c249f1f2-2d7c-4698-bcfc-bea85adad3ea,transaction
System Owner,The technical owner accountable for operating a system involved in an exchange (any API provider).,,No,,General,APS,https://dpdd.atlassian.net/wiki/spaces/POSM/pages/1389330560/Updated+CS+Terminology+Language,Yes,RJS 02/24: This is a user role.,42a64e4c-533e-4b7d-a856-9346a9507ae1,system-owner
Backstage,"Backstage is an open-source framework for building developer portals which unifies all your infrastructure tooling, services, and documentation to create a streamlined development environment from end to end.","Backstage is an open-source framework for building developer portals which unifies all your infrastructure tooling, services, and documentation to create a streamlined development environment from end to end.",Yes,Integration Toolkit,General,APS,"https://dpdd.atlassian.net/wiki/spaces/POSM/pages/1389330560/Updated+CS+Terminology+Language
https://backstage.io/docs/features/software-catalog/system-model/#ecosystem-modeling ",Yes,,150f0b09-66c4-4b9b-9503-41a8921f7468,backstage
Backstage Connector,"A plug-in or integration component that allows the Backstage developer portal to connect to external systems, pull data, or expose services inside the portal.","A plug-in or integration component that allows the Backstage developer portal to connect to external systems, pull data, or expose services inside the portal.",Yes,Integration Toolkit,General,APS,https://dpdd.atlassian.net/wiki/spaces/POSM/pages/1389330560/Updated+CS+Terminology+Language,Yes,,5674583a-9aea-42fc-9d40-da7d081e50db,backstage-connector
Endpoint,Specific URLs or interfaces in an API or service where requests are sent and responses are returned; the “access points” for interacting with a system.,Specific URLs or interfaces in an API or service where requests are sent and responses are returned; the “access points” for interacting with a system.,Yes,,General,APS,https://dpdd.atlassian.net/wiki/spaces/POSM/pages/1389330560/Updated+CS+Terminology+Language,Yes,,cbc0f8f6-00f7-4ecc-b8a6-19fc1cf9c177,endpoint
